price_id,company_id,trade_date,open_price,high_price,low_price,close_price,volume
1,1,2023-06-29,1154.89,1178.43,1153.09,1176.6,299837
2,1,2023-06-30,1176.6,1239.23,1169.52,1228.59,3543282
3,1,2023-07-03,1228.59,1230.82,1209.63,1211.85,1528168
4,1,2023-07-04,1211.85,1237.39,1206.62,1230.93,1463233
5,1,2023-07-05,1230.93,1234.53,1190.38,1194.76,2285789
6,1,2023-07-06,1194.76,1215.12,1192.37,1205.65,2576029
7,1,2023-07-07,1205.65,1212.98,1184.59,1186.61,334607
8,1,2023-07-10,1186.61,1201.72,1175.15,1190.43,4043902
9,1,2023-07-11,1190.43,1198.57,1164.53,1169.68,618970
10,1,2023-07-12,1169.68,1175.47,1159.38,1159.78,4547508
11,1,2023-07-13,1159.78,1191.16,1153.75,1187.46,2738084
12,1,2023-07-14,1187.46,1189.66,1134.29,1145.4,3877912
13,1,2023-07-17,1145.4,1170.98,1143.15,1169.94,235684
14,1,2023-07-18,1169.94,1179.58,1165.39,1175.76,1364031
15,1,2023-07-19,1175.76,1179.06,1153.75,1160.04,713211
16,1,2023-07-20,1160.04,1205.22,1159.18,1195.62,4934565
17,1,2023-07-21,1195.62,1195.69,1162.58,1172.14,3537218
18,1,2023-07-24,1172.14,1201.64,1163.1,1192.94,379482
19,1,2023-07-25,1192.94,1203.24,1156.64,1163.9,1661181
20,1,2023-07-26,1163.9,1164.64,1149.87,1153.45,1632664
21,1,2023-07-27,1153.45,1191.12,1148.01,1180.65,606775
22,1,2023-07-28,1180.65,1235.86,1171.67,1227.11,2810773
23,1,2023-07-31,1227.11,1233.52,1220.59,1225.83,136841
24,1,2023-08-01,1225.83,1282.86,1225.45,1281.48,3185687
25,1,2023-08-02,1281.48,1296.55,1278.29,1284.89,2057810
26,1,2023-08-03,1284.89,1294.6,1208.02,1210.79,394129
27,1,2023-08-04,1210.79,1222.05,1172.84,1182.39,3170684
28,1,2023-08-07,1182.39,1192.7,1155.81,1165.18,940984
29,1,2023-08-08,1165.18,1177.9,1154.74,1168.46,1596837
30,1,2023-08-09,1168.46,1202.62,1165.8,1201.3,2141267
31,1,2023-08-10,1201.3,1211.7,1195.16,1211.62,2092880
32,1,2023-08-11,1211.62,1223.51,1210.17,1220.8,1694699
33,1,2023-08-14,1220.8,1227.13,1206.54,1215.09,1824511
34,1,2023-08-15,1215.09,1241.28,1203.39,1229.33,1266393
35,1,2023-08-16,1229.33,1232.83,1160.46,1160.89,3051726
36,1,2023-08-17,1160.89,1166.73,1159.4,1160.0,1400445
37,1,2023-08-18,1160.0,1161.68,1147.88,1153.52,4928395
38,1,2023-08-21,1153.52,1166.43,1145.77,1163.62,3810481
39,1,2023-08-22,1163.62,1194.7,1156.26,1190.32,3171313
40,1,2023-08-23,1190.32,1196.7,1157.87,1158.92,4178159
41,1,2023-08-24,1158.92,1159.39,1118.96,1125.61,3391046
42,1,2023-08-25,1125.61,1125.8,1101.44,1107.11,1140213
43,1,2023-08-28,1107.11,1114.76,1068.84,1072.99,4684282
44,1,2023-08-29,1072.99,1089.23,1069.33,1087.73,576232
45,1,2023-08-30,1087.73,1122.51,1081.7,1113.41,2652956
46,1,2023-08-31,1113.41,1116.1,1072.65,1073.65,4487106
47,1,2023-09-01,1073.65,1085.41,1069.9,1081.74,3632518
48,1,2023-09-04,1081.74,1116.2,1072.15,1106.28,3901578
49,1,2023-09-05,1106.28,1108.07,1074.71,1084.45,3036081
50,1,2023-09-06,1084.45,1091.86,1083.35,1091.76,3320873
51,1,2023-09-07,1091.76,1158.37,1089.31,1150.86,3563774
52,1,2023-09-08,1150.86,1169.45,1147.12,1166.68,3734992
53,1,2023-09-11,1166.68,1207.18,1160.05,1199.29,477437
54,1,2023-09-12,1199.29,1218.12,1196.11,1213.66,1227508
55,1,2023-09-13,1213.66,1224.48,1203.3,1210.94,3976108
56,1,2023-09-14,1210.94,1229.08,1203.96,1222.93,2467663
57,1,2023-09-15,1222.93,1248.63,1222.63,1245.13,3230906
58,1,2023-09-18,1245.13,1247.33,1202.74,1214.16,4770103
59,1,2023-09-19,1214.16,1214.35,1195.09,1206.29,2146638
60,1,2023-09-20,1206.29,1243.18,1194.67,1231.28,4266517
